x_cm,y_cm,damage
0.0,10.0,0.5231761906966791
0.0,15.0,0.3961378415582623
0.0,20.0,0.2808252198006447
0.0,25.0,0.211300917009385
0.0,30.0,0.165784315928346
0.0,35.0,0.1277651870450943
0.0,40.0,0.1494011402299166
0.0,45.0,0.1645768491722969
0.0,50.0,0.1745134686407671
0.0,55.0,0.1641573092618503
0.0,60.0,0.1454869144901152
0.0,65.0,0.1346822637491635
0.0,70.0,0.1327837809346613
0.0,75.0,0.1203220016865978
0.0,80.0,0.133717299128869
0.0,85.0,0.1253133750899343
0.0,90.0,0.1161508264969782
0.0,95.0,0.1229992363827404
0.0,100.0,0.1074889814023538
5.0,10.0,0.5307708120599345
5.0,15.0,0.3758913090365289
5.0,20.0,0.2959231511888839
5.0,25.0,0.2198605850982559
5.0,30.0,0.1817737088468767
5.0,35.0,0.1426810433614325
5.0,40.0,0.1691748780762087
5.0,45.0,0.1798754345574386
5.0,50.0,0.17999655883095
5.0,55.0,0.1764475179240877
5.0,60.0,0.1741247884072116
5.0,65.0,0.1620933486682891
5.0,70.0,0.1459957294731982
5.0,75.0,0.1288700715618591
5.0,80.0,0.1220067665806525
5.0,85.0,0.1176291886881041
5.0,90.0,0.1092602545854306
5.0,95.0,0.1140135716847743
5.0,100.0,0.1145743600726812
10.0,10.0,0.514973774417863
10.0,15.0,0.3618182217141642
10.0,20.0,0.2828975077229786
10.0,25.0,0.2183166465132035
10.0,30.0,0.1665482715898913
10.0,35.0,0.1605062747819015
10.0,40.0,0.16350324303955
10.0,45.0,0.1795687602639737
10.0,50.0,0.1676204432260336
10.0,55.0,0.1766702456906912
10.0,60.0,0.1660720239039864
10.0,65.0,0.1442402398057589
10.0,70.0,0.1229058858072918
10.0,75.0,0.1195019419754356
10.0,80.0,0.1167827106126064
10.0,85.0,0.1125374400755947
10.0,90.0,0.1018299773131686
10.0,95.0,0.1128521329726913
10.0,100.0,0.124720219439171
15.0,10.0,0.5021901808485953
15.0,15.0,0.364475604293458
15.0,20.0,0.2890161932424165
15.0,25.0,0.2271754919744333
15.0,30.0,0.1903593845993172
15.0,35.0,0.1825305534583539
15.0,40.0,0.1657167072932208
15.0,45.0,0.1616070022610189
15.0,50.0,0.1530489065470175
15.0,55.0,0.1544446042980578
15.0,60.0,0.1485103362023433
15.0,65.0,0.1385479338519706
15.0,70.0,0.1224664920717223
15.0,75.0,0.1158743929628255
15.0,80.0,0.1211855156721745
15.0,85.0,0.1162333670039049
15.0,90.0,0.1132482203779833
15.0,95.0,0.1151013567258919
15.0,100.0,0.1238396555872995
20.0,10.0,0.4797604504276761
20.0,15.0,0.3425311893696056
20.0,20.0,0.3142386393143784
20.0,25.0,0.2435722994280125
20.0,30.0,0.2097655888389494
20.0,35.0,0.1710430320783386
20.0,40.0,0.1586205526172207
20.0,45.0,0.1589111337881897
20.0,50.0,0.1523055613425497
20.0,55.0,0.147042084850819
20.0,60.0,0.1436360689665672
20.0,65.0,0.1359173694103842
20.0,70.0,0.1230116179763678
20.0,75.0,0.1212208174519239
20.0,80.0,0.1125721077440558
20.0,85.0,0.1161805349162284
20.0,90.0,0.1052280038346245
20.0,95.0,0.1042373419085165
20.0,100.0,0.1034039184910995
25.0,10.0,0.5018449008143389
25.0,15.0,0.3565229775705856
25.0,20.0,0.3185276186413452
25.0,25.0,0.272416307097503
25.0,30.0,0.2364172969629374
25.0,35.0,0.1723883713581627
25.0,40.0,0.1591948209742639
25.0,45.0,0.1321740958796619
25.0,50.0,0.1359486322716835
25.0,55.0,0.1403855038126199
25.0,60.0,0.1237833733432981
25.0,65.0,0.1176434100438969
25.0,70.0,0.1048310212302105
25.0,75.0,0.1075010316580585
25.0,80.0,0.1174177487892204
25.0,85.0,0.0992138730025159
25.0,90.0,0.1034459234703472
25.0,95.0,0.1006568856620271
25.0,100.0,0.104247788130094
30.0,10.0,0.5364655852698409
30.0,15.0,0.3757339694050338
30.0,20.0,0.3396602731727529
30.0,25.0,0.2820361052472642
30.0,30.0,0.2424472106006761
30.0,35.0,0.1887184950924864
30.0,40.0,0.1621000955673341
30.0,45.0,0.1348967635873617
30.0,50.0,0.1294659933234213
30.0,55.0,0.1319753702210871
30.0,60.0,0.1265655017362885
30.0,65.0,0.1036726129018836
30.0,70.0,0.1057450311361167
30.0,75.0,0.0959197985721253
30.0,80.0,0.0983013507697148
30.0,85.0,0.0950322605611778
30.0,90.0,0.0847067626475715
30.0,95.0,0.0835139017542501
30.0,100.0,0.0893098526079361
35.0,10.0,0.5323166820663151
35.0,15.0,0.4135087613719951
35.0,20.0,0.317241893986683
35.0,25.0,0.268549200820919
35.0,30.0,0.2305582834247126
35.0,35.0,0.1735906601379904
35.0,40.0,0.145304703233589
35.0,45.0,0.1279127672785976
35.0,50.0,0.1126023478989831
35.0,55.0,0.1147854893883319
35.0,60.0,0.1183061599701067
35.0,65.0,0.1044001403882429
35.0,70.0,0.0996988673543052
35.0,75.0,0.1061407682362755
35.0,80.0,0.0984700686514891
35.0,85.0,0.0875898309716273
35.0,90.0,0.0868285626410378
35.0,95.0,0.0891330028456565
35.0,100.0,0.1038072953501116
40.0,10.0,0.4751054854696404
40.0,15.0,0.4126804208464666
40.0,20.0,0.3406259544972514
40.0,25.0,0.2743350248267545
40.0,30.0,0.1950717075815679
40.0,35.0,0.1725757995664793
40.0,40.0,0.1459160578785595
40.0,45.0,0.120623505914149
40.0,50.0,0.1247604665721982
40.0,55.0,0.1007561926847133
40.0,60.0,0.0933356845299357
40.0,65.0,0.0977878033346712
40.0,70.0,0.0914074412542066
40.0,75.0,0.0957581872394371
40.0,80.0,0.0943425209693543
40.0,85.0,0.0919462116263903
40.0,90.0,0.087489355460439
40.0,95.0,0.0868925389133319
40.0,100.0,0.0854797061588787
45.0,10.0,0.4315363545277043
45.0,15.0,0.3687797738629822
45.0,20.0,0.2831439529448361
45.0,25.0,0.2271875193063937
45.0,30.0,0.194098309193563
45.0,35.0,0.181821385581937
45.0,40.0,0.1442650605024328
45.0,45.0,0.1184719009312025
45.0,50.0,0.1013216903493025
45.0,55.0,0.0935349874075087
45.0,60.0,0.1003674501989747
45.0,65.0,0.096752161323887
45.0,70.0,0.0956002255645442
45.0,75.0,0.0878544026528054
45.0,80.0,0.0887043672976479
45.0,85.0,0.0952149197822384
45.0,90.0,0.0912736151353148
45.0,95.0,0.1036899624235395
45.0,100.0,0.0996636741439663
