x_cm,y_cm,damage
0.0,10.0,0.5591613965471628
0.0,15.0,0.4913075318178049
0.0,20.0,0.4331506593202362
0.0,25.0,0.333784537207917
0.0,30.0,0.2703235820310928
0.0,35.0,0.2390008451614842
0.0,40.0,0.2368730426433932
0.0,45.0,0.2226196949603156
0.0,50.0,0.2319578050537149
0.0,55.0,0.2437477171818583
0.0,60.0,0.2334268826124461
0.0,65.0,0.2017000289017807
0.0,70.0,0.1932541342734936
0.0,75.0,0.1832298889479873
0.0,80.0,0.1799678727606357
0.0,85.0,0.1644903874408218
0.0,90.0,0.1573099041455711
0.0,95.0,0.1431895086940362
0.0,100.0,0.1276493185194192
5.0,10.0,0.5510338802687963
5.0,15.0,0.4603237944991026
5.0,20.0,0.3861347441432942
5.0,25.0,0.3218395251489966
5.0,30.0,0.2632198606167376
5.0,35.0,0.2388657433136249
5.0,40.0,0.2371571280073353
5.0,45.0,0.2253942579915205
5.0,50.0,0.2292759274353588
5.0,55.0,0.2269407468017295
5.0,60.0,0.2401084037460044
5.0,65.0,0.2131924956380085
5.0,70.0,0.2002480491526389
5.0,75.0,0.1834084374803612
5.0,80.0,0.1742719313361424
5.0,85.0,0.1576803968758658
5.0,90.0,0.1497078154154776
5.0,95.0,0.1409144186781898
5.0,100.0,0.1309460731389353
10.0,10.0,0.5863097325714854
10.0,15.0,0.4768947192737347
10.0,20.0,0.4329200641762808
10.0,25.0,0.3257631971137035
10.0,30.0,0.2965067929737425
10.0,35.0,0.2444279581573512
10.0,40.0,0.2442891453740953
10.0,45.0,0.2165223916355473
10.0,50.0,0.2046184175272199
10.0,55.0,0.2265610808632598
10.0,60.0,0.2280413439913348
10.0,65.0,0.2052574273160397
10.0,70.0,0.19650963432881
10.0,75.0,0.1849829890839761
10.0,80.0,0.1692347002238435
10.0,85.0,0.1549000783495792
10.0,90.0,0.1461583824075693
10.0,95.0,0.1284032253205425
10.0,100.0,0.1302267211258271
15.0,10.0,0.5872568873779603
15.0,15.0,0.4645265708255995
15.0,20.0,0.4019254899779964
15.0,25.0,0.351861986743308
15.0,30.0,0.3076952167905689
15.0,35.0,0.2576253810302608
15.0,40.0,0.2422485042897248
15.0,45.0,0.2226558872187771
15.0,50.0,0.231483187651081
15.0,55.0,0.2304645265423336
15.0,60.0,0.2245027057983663
15.0,65.0,0.2154642106240881
15.0,70.0,0.1951254958802505
15.0,75.0,0.1733615897120452
15.0,80.0,0.1685765129573623
15.0,85.0,0.1539209813751423
15.0,90.0,0.148797515198993
15.0,95.0,0.1348313588310808
15.0,100.0,0.1332807859889804
20.0,10.0,0.6032026046192532
20.0,15.0,0.4837866461567174
20.0,20.0,0.4015206353170095
20.0,25.0,0.3659681524910231
20.0,30.0,0.3200823725708335
20.0,35.0,0.2778862680422485
20.0,40.0,0.2510875858842124
20.0,45.0,0.214509506804867
20.0,50.0,0.2125733561388625
20.0,55.0,0.201124965766114
20.0,60.0,0.2051339021174486
20.0,65.0,0.1895788134482103
20.0,70.0,0.169541226346835
20.0,75.0,0.1623516509283472
20.0,80.0,0.1420686419569694
20.0,85.0,0.1377124301614698
20.0,90.0,0.1359276943320841
20.0,95.0,0.1312868868377032
20.0,100.0,0.1196018778038029
25.0,10.0,0.613197905691913
25.0,15.0,0.5392396248521482
25.0,20.0,0.4078780741878616
25.0,25.0,0.3781269517152836
25.0,30.0,0.3231058812378128
25.0,35.0,0.2996205229550563
25.0,40.0,0.2522953690577381
25.0,45.0,0.2260124242129263
25.0,50.0,0.2005386719341074
25.0,55.0,0.1908334642539258
25.0,60.0,0.1977244260976864
25.0,65.0,0.1692104468235198
25.0,70.0,0.1562074580847201
25.0,75.0,0.1555561453459314
25.0,80.0,0.12908069799779
25.0,85.0,0.1236885239982407
25.0,90.0,0.1247024145974813
25.0,95.0,0.1223637711958431
25.0,100.0,0.1259461291849949
30.0,10.0,0.561734386275675
30.0,15.0,0.4903045788232549
30.0,20.0,0.4186002141032869
30.0,25.0,0.3651958446040121
30.0,30.0,0.3099642565739079
30.0,35.0,0.2970901124059137
30.0,40.0,0.2627171601538742
30.0,45.0,0.2370397162811837
30.0,50.0,0.192798307587995
30.0,55.0,0.1963745240326118
30.0,60.0,0.1886739848410659
30.0,65.0,0.1821883734735217
30.0,70.0,0.1672419599094234
30.0,75.0,0.1569536932326296
30.0,80.0,0.1322310962658601
30.0,85.0,0.1344718422964092
30.0,90.0,0.1242114768885401
30.0,95.0,0.1297599677099816
30.0,100.0,0.1112095618218503
35.0,10.0,0.587764332204202
35.0,15.0,0.483441816149341
35.0,20.0,0.5121336990544347
35.0,25.0,0.3555905555236197
35.0,30.0,0.3362818313402234
35.0,35.0,0.2974083382880231
35.0,40.0,0.2712138730118256
35.0,45.0,0.233334044663858
35.0,50.0,0.2021982698561294
35.0,55.0,0.1838953918806196
35.0,60.0,0.1889649241295598
35.0,65.0,0.1676089164415822
35.0,70.0,0.1642434883602725
35.0,75.0,0.1495202290126723
35.0,80.0,0.1452991309498106
35.0,85.0,0.1330278573858002
35.0,90.0,0.1415709278486096
35.0,95.0,0.1269293748615806
35.0,100.0,0.1260467459250731
40.0,10.0,0.5443315761242092
40.0,15.0,0.5327611525469008
40.0,20.0,0.452830645048236
40.0,25.0,0.3715048375814208
40.0,30.0,0.314580199176794
40.0,35.0,0.2709498477994018
40.0,40.0,0.2543030229724206
40.0,45.0,0.2311428993112993
40.0,50.0,0.205150811447869
40.0,55.0,0.1809459499385601
40.0,60.0,0.1610317911310526
40.0,65.0,0.1654207837857304
40.0,70.0,0.1543828634368639
40.0,75.0,0.1387997385716485
40.0,80.0,0.1342753867870486
40.0,85.0,0.1442035090979256
40.0,90.0,0.1264471354573188
40.0,95.0,0.1254690700430014
40.0,100.0,0.1300818598474669
45.0,10.0,0.5005534704712801
45.0,15.0,0.4564019861518948
45.0,20.0,0.409745481581564
45.0,25.0,0.3480202974390258
45.0,30.0,0.2898897534322168
45.0,35.0,0.2632150765349077
45.0,40.0,0.2235722711119203
45.0,45.0,0.2180255631789974
45.0,50.0,0.1856293064740511
45.0,55.0,0.1837674963148894
45.0,60.0,0.1642514150619126
45.0,65.0,0.1522808168317806
45.0,70.0,0.1725255165041152
45.0,75.0,0.1433504878365548
45.0,80.0,0.1362109783168383
45.0,85.0,0.1359438376115568
45.0,90.0,0.1270689178205843
45.0,95.0,0.1259242520097836
45.0,100.0,0.1171469556097769
